Euring;Sortering;Artnavn;Latin;English;Status;Type
01680;10;Knortegås;"Branta bernicla";"Brant Goose";A;art
01681;20;"Knortegås, Mørkbuget (ssp. bernicla)";"Branta bernicla bernicla";"Brant Goose (ssp. bernicla)";A;underart
01682;30;"Knortegås, Lysbuget (ssp. hrota)";"Branta bernicla hrota";"Brant Goose (ssp. hrota)";A;underart
01683;40;"Knortegås, Sortbuget (ssp. nigricans)";"Branta bernicla nigricans";"Brant Goose (ssp. nigricans)";AS;underart
01688;50;"Knortegås, Mørkbuget x Sortbuget (hybrid)";"Branta bernicla bernicla x B. b. nigricans";"Brant Goose (bernicla x nigricans)";H;hybrid
01689;60;"Knortegås x Rødhalset Gås (hybrid)";"Branta bernicla x B. ruficollis";"Brant Goose x Red-breasted Goose";H;hybrid
01690;70;"Rødhalset Gås";"Branta ruficollis";"Red-breasted Goose";AS;art
01699;80;"Rajgås sp.";"Branta sp.";"Goose sp. (branta)";H;ubestemt
01709;90;"Gås sp.";"Anser/Branta sp.";"Goose sp.";H;ubestemt
01660;100;Canadagås;"Branta canadensis";"Canada Goose";C;art
01664;110;"Canadagås x Bramgås (hybrid)";"Branta canadensis x B. leucopsis";"Canada Goose x Barnacle Goose";H;hybrid
01669;120;"Canadagås x Grågås (hybrid)";"Branta canadensis x Anser anser";"Canada Goose x Greylag Goose";H;hybrid
01670;130;Bramgås;"Branta leucopsis";"Barnacle Goose";A;art
01677;140;"Bramgås x Dværgcanadagås (hybrid)";"Branta leucopsis x B. hutchinsii";"Barnacle Goose x Cackling Goose";H;hybrid
01678;150;"Bramgås x Dværggås (hybrid)";"Branta leucopsis x Anser erythropus";"Barnacle Goose x Lesser White-fronted Goose";H;hybrid
01679;160;"Bramgås x Rødhalset Gås (hybrid)";"Branta leucopsis x B. ruficollis";"Barnacle Goose x Red-breasted Goose";H;hybrid
01665;170;Dværgcanadagås;"Branta hutchinsii";"Cackling Goose";E;art
01620;180;"Indisk Gås";"Anser indicus";"Bar-headed Goose";C;art
01625;190;"Indisk Gås X Grågås (hybrid)";"Anser indicus x A. anser";"Bar-headed Goose x Greylag Goose (hybrid)";H;hybrid
01626;200;"Indisk Gås X Canadagås (hybrid)";"Anser indicus x Branta canadensis";"Bar-headed Goose x Canada Goose (hybrid)";H;hybrid
01627;210;"Indisk Gås X Bramgås (hybrid)";"Anser indicus x Branta leucopsis";"Bar-headed Goose x Barnacle Goose (hybrid)";H;hybrid
01659;220;"Grå Gås sp.";"Anser sp.";"Goose sp. (anser)";H;ubestemt
01650;230;Kejsergås;"Anser canagicus";"Emperor Goose";E;art
01645;240;"Dværgsnegås x Bramgås (hybrid)";"Anser rossii x Branta leucopsis";"Ross's Goose x Barnacle Goose";HU;hybrid
01640;250;Dværgsnegås;"Anser rossii";"Ross's Goose";AU;art
01630;260;Snegås;"Anser caerulescens";"Snow Goose";D;art
01639;270;"Snegås x Bramgås (hybrid)";"Anser caerulescens x Branta leucopsis";"Snow Goose x Barnacle Goose";H;hybrid
01610;280;Grågås;"Anser anser";"Greylag Goose";A;art
01615;290;"Grågås x Blisgås (hybrid)";"Anser anser x A. albifrons";"Greylag Goose x Greater White-fronted Goose";H;hybrid
01619;300;"Grågås x Bramgås (hybrid)";"Anser anser x Branta leucopsis";"Greylag Goose x Barnacle Goose";H;hybrid
01560;310;Svanegås;"Anser cygnoides";"Swan Goose";E;art
01569;320;"Svanegås x Grågås (hybrid)";"Anser cygnoides x A. anser";"Swan Goose x Greylag Goose";H;hybrid
01570;330;Tajgasædgås/Tundrasædgås;"Anser fabalis/A. serrirostris";"Taiga Bean Goose/Tundra Bean Goose";H;ubestemt
01571;340;Tajgasædgås;"Anser fabalis";"Taiga Bean Goose";A;art
01580;350;"Kortnæbbet Gås";"Anser brachyrhynchus";"Pink-footed Goose";A;art
01574;360;Tundrasædgås;"Anser serrirostris";"Tundra Bean Goose";A;art
01590;370;Blisgås;"Anser albifrons";"Greater White-fronted Goose";A;art
01592;380;"Blisgås, Grønlandsk (ssp. flavirostris)";"Anser albifrons flavirostris";"Greater White-fronted Goose (ssp. flavirostris)";AS;underart
01591;390;"Blisgås (ssp. albifrons)";"Anser albifrons albifrons";"Greater White-fronted Goose (ssp. albifrons)";A;underart
01594;400;"Blisgås x Bramgås (hybrid)";"Anser albifrons x Branta leucopsis";"Greater White-fronted Goose x Barnacle Goose";H;hybrid
01595;410;"Blisgås x Rødhalset Gås (hybrid)";"Anser albifrons x Branta ruficollis";"Greater White-fronted Goose x Red-breasted Goose";H;hybrid
01600;420;Dværggås;"Anser erythropus";"Lesser White-fronted Goose";AS;art
01599;430;Blisgås/Dværggås;"Anser albifrons/A. erythropus";"Greater White-fronted Goose/Lesser White-fronted Goose";H;ubestemt
01525;440;Sortsvane;"Cygnus atratus";"Black Swan";C;art
01526;450;"Sorthalset Svane";"Cygnus melancoryphus";"Black-necked Swan";E;art
01520;460;Knopsvane;"Cygnus olor";"Mute Swan";A;art
01530;470;Pibesvane;"Cygnus columbianus";"Tundra Swan";A;art
01540;480;Sangsvane;"Cygnus cygnus";"Whooper Swan";A;art
01539;490;Pibesvane/Sangsvane;"Cygnus columbianus/C. cygnus";"Tundra Swan/Whooper Swan";H;ubestemt
01559;500;"Svane sp.";"Cygnus sp.";"Swan sp.";H;ubestemt
01700;510;Nilgås;"Alopochen aegyptiaca";"Egyptian Goose";C;art
01695;520;Magellangås;"Chloephaga picta";"Upland Goose";E;art
01730;530;Gravand;"Tadorna tadorna";"Common Shelduck";A;art
01710;540;Rustand;"Tadorna ferruginea";"Ruddy Shelduck";A;art
01714;550;"Rustand x Gravand (hybrid)";"Tadorna ferruginea x T. tadorna";"Ruddy Shelduck x Common Shelduck";H;hybrid
01750;560;Moskusand;"Cairina moschata";"Muscovy Duck";E;art
01770;570;Brudeand;"Aix sponsa";"Wood Duck";E;art
01780;580;Mandarinand;"Aix galericulata";"Mandarin Duck";C;art
01830;590;"Sibirisk Krikand";"Sibirionetta formosa";"Baikal Teal";AU;art
01910;600;Atlingand;"Spatula querquedula";Garganey;A;art
